NAMA PERTANDINGAN: MY ROBOTIC CHALLENGE KATEGORI MIKROBOTIK,,,,,
MEA0071,SMK,5122 - SEKOLAH MENENGAH KEBANGSAAN GHAFAR BABA,MASJID TANAH,ADA,ADA
MEA0072,SMK,5121 - SEKOLAH MENENGAH KEBANGSAAN DATO' HAJI TALIB KARIM,ALOR GAJAH,TIADA,ADA
MEA0073,SMK,5120 - SEKOLAH MENENGAH KEBANGSAAN RAHMAT,MASJID TANAH,ADA,ADA
MEA0074,SMK,5119 - SEKOLAH MENENGAH KEBANGSAAN ADE PUTRA,MASJID TANAH,ADA,TIADA
MEA0075,SMK,5118 - SEKOLAH MENENGAH KEBANGSAAN NANING,MASJID TANAH,TIADA,TIADA
MEA0095,SMK,5117 - SEKOLAH MENENGAH KEBANGSAAN LUBOK CHINA,MASJID TANAH,TIADA,TIADA
MEA0099,SMK,5116 - SEKOLAH MENENGAH KEBANGSAAN HANG KASTURI,MASJID TANAH,ADA,TIADA
MEA0100,SMK,5115 - SEKOLAH MENENGAH KEBANGSAAN SUNGAI UDANG,MASJID TANAH,ADA,TIADA
MEA0101,SMK,5114 - SEKOLAH MENENGAH KEBANGSAAN DURIAN TUNGGAL,ALOR GAJAH,TIADA,TIADA
MEA0102,SMK,5113 - SEKOLAH MENENGAH KEBANGSAAN TEBONG,ALOR GAJAH,TIADA,ADA
MEA0103,SBP,10514 - SEKOLAH MENENGAH SAINS ALOR GAJAH,MASJID TANAH,ADA,ADA
MEB0077,SMK,5090 - SEKOLAH MENENGAH KEBANGSAAN SERI PENGKALAN,ALOR GAJAH,ADA,TIADA
MEB0078,SMK,5089 - SEKOLAH MENENGAH KEBANGSAAN PULAU SEBANG,ALOR GAJAH,ADA,TIADA
MEB0079,SMK,5088 - SEKOLAH MENENGAH KEBANGSAAN SULTAN ALAUDDIN,MASJID TANAH,ADA,ADA
MEE0074,SMK,9877 - SEKOLAH MENENGAH KEBANGSAAN SULTAN MANSOR SHAH,ALOR GAJAH,TIADA,ADA
MEE0075,SMK,5069 - SEKOLAH MENENGAH KEBANGSAAN DATO' DOL SAID,ALOR GAJAH,ADA,ADA
MEE0094,SMK,5068 - SEKOLAH MENENGAH KEBANGSAAN KEM TERENDAK,TANGGA BATU,ADA,TIADA
MFT0001,SM SABK,5066 - SEKOLAH MENENGAH AGAMA AL-EHYA AL-KARIM,MASJID TANAH,ADA,TIADA
MFT0002,SM SABK,5065 - SMA JAIM AL-ASYRAF,ALOR GAJAH,ADA,TIADA
MFT0003,SM SABK,5064 - SEKOLAH MENENGAH ARAB (JAIM) DARUL FALAH,MASJID TANAH,ADA,ADA
MHA0001,KV,9325 - KOLEJ VOKASIONAL DATUK SERI MOHD. ZIN,ALOR GAJAH,TIADA,TIADA
,,,,,
NAMA PERTANDINGAN: MY ROBOTIC CHALLENGE KATEGORI REKAEDUKIT,,,,,
KOD SEKOLAH,KATEGORI SEKOLAH,NAMA SEKOLAH,PARLIMEN,2024,2025
MBA0001,SK,5356 - SEKOLAH KEBANGSAAN MASJID TANAH,MASJID TANAH,TIADA,TIADA
MBA0002,SK,5357 - SEKOLAH KEBANGSAAN TANJUNG BIDARA,MASJID TANAH,TIADA,TIADA
MBA0003,SK,9870 - SEKOLAH KEBANGSAAN OTHMAN SYAWAL,MASJID TANAH,TIADA,TIADA
